a;a;ei
a;to;tu
a bordo;aboard;eberd
a flote;afloat;eflout
a horcajadas;astride;estraid
a la deriva;adrift;edrift
a lo largo;along;e'lon
a propósito;on purpose;onpurpos
a propósito;adhoc;aedhak
a propósito;apropos;aeprepou
a través;across;ekres
ábaco;abacus;aebekes
abad;abbot;aebet
abadejo;haddock;haedek
abadesa;abbess;aebes
abadía;abbey;aebi
abajo;down;daun
abajo;below;bilou
abajo ;downstairs;daunsterz
abandonar;abandon;e´baenden
abandonar;forsake;ferseik
abandonar;quit;kwit
abandono;abandonment;e´baendenment
abandono;dereliction;dereliksen
abarcar;encompass;inkampes
abarrotar;overstock;ouverstak
abatible;casement;keisment
abatido;dejected;didzekted
abatido;hangdog;haen gog
abatido;heartsick;hart sik
abatimiento;dejection;didzeksen
abdicación;abdication;aebdikeifen
abdicar;abdicate;aebdikeit
abdomen;abdomen;aebdemen
abdominal;abdominal;aebdamenel
abdominal;situp;sitap
abecedario;abc;eibici
abedul;birch;berts
abeja;bee;bi
abeja;honeybee;hunibi
abejorro;bumblebee;bambelbi
aberración;aberration;aebereifen
abertura;aperture;aepertfur
abertura;opening;oupenin
abeto;spruce;sprus
abiertamente;overtly;ouvertli
abierto;open;oupen
abigarrado;variegated;veriegeited
abismo;abyss;ebis
abismo;chasm;kaezem
abjurar;abjure;aebdzur
ablandar;soften;sofen
ablandar;tenderize;tenderaiz
ablativo;ablative;aebletiv
ablución;ablution;eblufen
abnegación;abnegation;aebnigeifen
abnegación;selfdenial;selfdinaiel
abogado;lawyer;lojer
abogado;advocate;aedveket
abogado;attorney;eterni
abogado;barrister;baerester
abolición;abolition;aebelifen
abolir;abolish;ebalif
abolladura;dent;dent
abominable;abominable;ebamenebel
abominación ;abomination;ebameneifen
abominar;abominate;eneit
abonado;subscriber;sebskraiber
abono;subscription;sebskripsen
abordar;accost;ekest
aborigen;aboriginal;aeberidzenel
aborígenes;aborigines;eniz
aborrecer;abhor;ebher
aborrecer;loathe;loud
aborrecible;abhorrent;ent
